,Date,State/UT,Latitude,Longitude,Confirmed,Active,Deaths,Mortality rate,Cured,Recovery rate
135,2020/03/14,Delhi,28.7041,77.1025,7,5,1,0.14285714285714285,1,0.14285714285714285
136,2020/03/14,Haryana,29.0588,76.0856,14,14,0,0.0,0,0.0
137,2020/03/14,Karnataka,15.3173,75.7139,6,5,1,0.16666666666666666,0,0.0
138,2020/03/14,Kerala,10.8505,76.2711,19,16,0,0.0,3,0.15789473684210525
139,2020/03/14,Maharashtra,19.7515,75.7139,14,14,0,0.0,0,0.0
140,2020/03/14,Punjab,31.1471,75.3412,1,1,0,0.0,0,0.0
141,2020/03/14,Rajasthan,27.0238,74.2179,3,2,0,0.0,1,0.3333333333333333
142,2020/03/14,Tamil Nadu,11.1271,78.6569,1,1,0,0.0,0,0.0
143,2020/03/14,Telengana,18.1124,79.0193,1,1,0,0.0,0,0.0
144,2020/03/14,Jammu and Kashmir,33.7782,76.5762,2,2,0,0.0,0,0.0
145,2020/03/14,Ladakh,34.2996,78.2932,3,3,0,0.0,0,0.0
146,2020/03/14,Uttar Pradesh,26.8467,80.9462,12,7,0,0.0,5,0.4166666666666667
147,2020/03/15,Andhra Pradesh,15.9129,79.74,1,1,0,0.0,0,0.0
148,2020/03/15,Delhi,28.7041,77.1025,7,4,1,0.14285714285714285,2,0.2857142857142857
149,2020/03/15,Haryana,29.0588,76.0856,14,14,0,0.0,0,0.0
150,2020/03/15,Karnataka,15.3173,75.7139,6,5,1,0.16666666666666666,0,0.0
151,2020/03/15,Kerala,10.8505,76.2711,23,20,0,0.0,3,0.13043478260869565
152,2020/03/15,Maharashtra,19.7515,75.7139,32,32,0,0.0,0,0.0
153,2020/03/15,Punjab,31.1471,75.3412,1,1,0,0.0,0,0.0
154,2020/03/15,Rajasthan,27.0238,74.2179,4,1,0,0.0,3,0.75
155,2020/03/15,Tamil Nadu,11.1271,78.6569,1,1,0,0.0,0,0.0
156,2020/03/15,Telengana,18.1124,79.0193,3,2,0,0.0,1,0.3333333333333333
157,2020/03/15,Jammu and Kashmir,33.7782,76.5762,2,2,0,0.0,0,0.0
158,2020/03/15,Ladakh,34.2996,78.2932,3,3,0,0.0,0,0.0
